t,s1
0.27,1.175570505
0.271,1.210722302
0.272,1.212452478
0.273,1.178466373
0.274,1.107620484
0.275,1
0.276,0.856954017
0.277,0.681086599
0.278,0.476203373
0.279,0.247214953
0.28,2.77556E-15
0.281,-0.258767814
0.282,-0.521823356
0.283,-0.781537406
0.284,-1.030160286
0.285,-1.260073511
0.286,-1.464040925
0.287,-1.635450718
0.288,-1.768539971
0.289,-1.858593931
0.29,-1.902113033
0.291,-1.896941754
0.292,-1.842354654
0.293,-1.739096404
0.294,-1.589374158
0.295,-1.396802247
0.296,-1.16630078
0.297,-0.903951348
0.298,-0.61681444
0.299,-0.312714548
0.3,-3.67545E-15
0.301,0.312714548
0.302,0.61681444
0.303,0.903951348
0.304,1.16630078
0.305,1.396802247
0.306,1.589374158
0.307,1.739096404
0.308,1.842354654
0.309,1.896941754
0.31,1.902113033
0.311,1.858593931
0.312,1.768539971
0.313,1.635450718
0.314,1.464040925
0.315,1.260073511
0.316,1.030160286
0.317,0.781537406
0.318,0.521823356
0.319,0.258767814
0.32,3.10862E-15
0.321,-0.247214953
0.322,-0.476203373
0.323,-0.681086599
0.324,-0.856954017
0.325,-1
0.326,-1.107620484
0.327,-1.178466373
0.328,-1.212452478
0.329,-1.210722302
0.33,-1.175570505
0.331,-1.110326397
0.332,-1.01920313
0.333,-0.907118445
0.334,-0.779493819
0.335,-0.642039522
0.336,-0.500533577
0.337,-0.360602739
0.338,-0.227513486
0.339,-0.105980571
0.34,3.10862E-15
0.341,0.087287649
0.342,0.153698803
0.343,0.198069918
0.344,0.220279947
0.345,0.221231742
0.346,0.202793432
0.347,0.167702242
0.348,0.119434666
0.349,0.062048081
0.35,-2.69511E-15
0.351,-0.062048081
0.352,-0.119434666
0.353,-0.167702242
0.354,-0.202793432
0.355,-0.221231742
0.356,-0.220279947
0.357,-0.198069918
0.358,-0.153698803
0.359,-0.087287649
0.36,-3.55271E-15
0.361,0.105980571
0.362,0.227513486
0.363,0.360602739
0.364,0.500533577
0.365,0.642039522
0.366,0.779493819
0.367,0.907118445
0.368,1.01920313
0.369,1.110326397
0.37,1.175570505
0.371,1.210722302
0.372,1.212452478
0.373,1.178466373
0.374,1.107620484
0.375,1
0.376,0.856954017
0.377,0.681086599
0.378,0.476203373
0.379,0.247214953
0.38,-1.88738E-15
0.381,-0.258767814
0.382,-0.521823356
0.383,-0.781537406
0.384,-1.030160286
0.385,-1.260073511
0.386,-1.464040925
0.387,-1.635450718
0.388,-1.768539971
0.389,-1.858593931
0.39,-1.902113033
0.391,-1.896941754
0.392,-1.842354654
0.393,-1.739096404
0.394,-1.589374158
0.395,-1.396802247
0.396,-1.16630078
0.397,-0.903951348
0.398,-0.61681444
0.399,-0.312714548
0.4,-4.90059E-15
0.401,0.312714548
0.402,0.61681444
0.403,0.903951348
0.404,1.16630078
0.405,1.396802247
0.406,1.589374158
0.407,1.739096404
0.408,1.842354654
0.409,1.896941754
0.41,1.902113033
0.411,1.858593931
0.412,1.768539971
0.413,1.635450718
0.414,1.464040925
0.415,1.260073511
0.416,1.030160286
0.417,0.781537406
0.418,0.521823356
0.419,0.258767814
0.42,9.88098E-15
0.421,-0.247214953
0.422,-0.476203373
0.423,-0.681086599
0.424,-0.856954017
0.425,-1
0.426,-1.107620484
0.427,-1.178466373
0.428,-1.212452478
0.429,-1.210722302
0.43,-1.175570505
0.431,-1.110326397
0.432,-1.01920313
0.433,-0.907118445
0.434,-0.779493819
0.435,-0.642039522
0.436,-0.500533577
0.437,-0.360602739
0.438,-0.227513486
0.439,-0.105980571
0.44,0
0.441,0.087287649
0.442,0.153698803
0.443,0.198069918
0.444,0.220279947
0.445,0.221231742
0.446,0.202793432
0.447,0.167702242
0.448,0.119434666
0.449,0.062048081
0.45,4.65535E-15
0.451,-0.062048081
0.452,-0.119434666
0.453,-0.167702242
0.454,-0.202793432
0.455,-0.221231742
0.456,-0.220279947
0.457,-0.198069918
0.458,-0.153698803
0.459,-0.087287649
0.46,2.66454E-15
0.461,0.105980571
0.462,0.227513486
0.463,0.360602739
0.464,0.500533577
0.465,0.642039522
0.466,0.779493819
0.467,0.907118445
0.468,1.01920313
0.469,1.110326397
0.47,1.175570505
0.471,1.210722302
0.472,1.212452478
0.473,1.178466373
